特征名称,出现次数,性能指标,特征类型
碳含量,4,抗拉强度,前5重要
锰含量,3,抗拉强度,前5重要
硅含量,3,抗拉强度,前5重要
磷含量,3,抗拉强度,前5重要
氮含量,2,抗拉强度,前5重要
压下率,2,抗拉强度,前5重要
保温平均温度差,1,抗拉强度,前5重要
热点_升温速率标准差,1,抗拉强度,前5重要
冷点_升温幅度,1,抗拉强度,前5重要
冷点_最大瞬时升温速率,1,抗拉强度,前5重要
铝含量,1,抗拉强度,前5重要
升温时长,1,抗拉强度,前5重要
冷轧生产实际厚度,1,抗拉强度,前5重要
氧含量,1,抗拉强度,前5重要
铌含量,3,抗拉强度,后5重要
热点_降温幅度,3,抗拉强度,后5重要
冷点_最大瞬时降温速率,2,抗拉强度,后5重要
硫含量,2,抗拉强度,后5重要
冷点_升温幅度,2,抗拉强度,后5重要
冷点_最大瞬时升温速率,2,抗拉强度,后5重要
铝含量,1,抗拉强度,后5重要
磷含量,1,抗拉强度,后5重要
钛含量,1,抗拉强度,后5重要
热轧精轧出口平均温度,1,抗拉强度,后5重要
热点_保温温度标准差,1,抗拉强度,后5重要
升温时长,1,抗拉强度,后5重要
冷点_平均降温速率,1,抗拉强度,后5重要
氧含量,1,抗拉强度,后5重要
热轧在炉时间,1,抗拉强度,后5重要
热点_升温速率标准差,1,抗拉强度,后5重要
热点_最大瞬时升温速率,1,抗拉强度,后5重要
碳含量,5,屈服Rp0.2值*,前5重要
硅含量,3,屈服Rp0.2值*,前5重要
氮含量,3,屈服Rp0.2值*,前5重要
锰含量,3,屈服Rp0.2值*,前5重要
升温时长,2,屈服Rp0.2值*,前5重要
保温平均温度差,1,屈服Rp0.2值*,前5重要
冷点_最大瞬时升温速率,1,屈服Rp0.2值*,前5重要
磷含量,1,屈服Rp0.2值*,前5重要
冷点_升温速率标准差,1,屈服Rp0.2值*,前5重要
冷轧生产实际厚度,1,屈服Rp0.2值*,前5重要
热轧卷取平均温度,1,屈服Rp0.2值*,前5重要
热轧在炉时间,1,屈服Rp0.2值*,前5重要
平均升温速率差,1,屈服Rp0.2值*,前5重要
氧含量,1,屈服Rp0.2值*,前5重要
冷点_最大瞬时降温速率,4,屈服Rp0.2值*,后5重要
冷点_最大瞬时升温速率,4,屈服Rp0.2值*,后5重要
硫含量,2,屈服Rp0.2值*,后5重要
热点_峰值温度,2,屈服Rp0.2值*,后5重要
铌含量,2,屈服Rp0.2值*,后5重要
硅含量,1,屈服Rp0.2值*,后5重要
平均升温速率差,1,屈服Rp0.2值*,后5重要
氮含量,1,屈服Rp0.2值*,后5重要
热轧精轧出口平均温度,1,屈服Rp0.2值*,后5重要
冷点_降温速率标准差,1,屈服Rp0.2值*,后5重要
冷点_升温幅度,1,屈服Rp0.2值*,后5重要
冷轧入口厚度,1,屈服Rp0.2值*,后5重要
冷轧生产实际厚度,1,屈服Rp0.2值*,后5重要
氧含量,1,屈服Rp0.2值*,后5重要
热点_最大瞬时升温速率,1,屈服Rp0.2值*,后5重要
热点_升温速率标准差,1,屈服Rp0.2值*,后5重要
硅含量,3,断后伸长率,前5重要
碳含量,3,断后伸长率,前5重要
冷点_峰值温度,2,断后伸长率,前5重要
压下率,2,断后伸长率,前5重要
锰含量,2,断后伸长率,前5重要
热点_保温温度标准差,1,断后伸长率,前5重要
热点_升温速率标准差,1,断后伸长率,前5重要
平均升温速率差,1,断后伸长率,前5重要
冷点_平均降温速率,1,断后伸长率,前5重要
热点_平均降温速率,1,断后伸长率,前5重要
退火卷宽度,1,断后伸长率,前5重要
热轧卷取平均温度,1,断后伸长率,前5重要
铝含量,1,断后伸长率,前5重要
磷含量,1,断后伸长率,前5重要
冷轧入口厚度,1,断后伸长率,前5重要
冷轧生产实际厚度,1,断后伸长率,前5重要
氮含量,1,断后伸长率,前5重要
氧含量,1,断后伸长率,前5重要
硫含量,3,断后伸长率,后5重要
铌含量,3,断后伸长率,后5重要
冷点_最大瞬时降温速率,3,断后伸长率,后5重要
氧含量,2,断后伸长率,后5重要
热点_峰值温度,2,断后伸长率,后5重要
热点_平均降温速率,1,断后伸长率,后5重要
铝含量,1,断后伸长率,后5重要
热轧精轧出口平均温度,1,断后伸长率,后5重要
冷轧入口厚度,1,断后伸长率,后5重要
热轧精轧入口平均温度,1,断后伸长率,后5重要
冷点_降温速率标准差,1,断后伸长率,后5重要
氮含量,1,断后伸长率,后5重要
冷点_最大瞬时升温速率,1,断后伸长率,后5重要
热点_降温幅度,1,断后伸长率,后5重要
热点_最大瞬时升温速率,1,断后伸长率,后5重要
升温时长,1,断后伸长率,后5重要
热点_升温速率标准差,1,断后伸长率,后5重要
